Timestamp, Epoch,L3BT-VCS-SGV505:OPEN
2025-08-20 06:29:18.366Z,1755671358366,1
2025-08-20 06:29:18.366Z,1755671358366,1
2025-08-20 06:29:18.366Z,1755671358366,1
2025-08-20 06:29:18.366Z,1755671358366,1
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 07:08:53.978Z,1755673733978,0
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 08:10:56.783Z,1755677456783,1
2025-08-20 09:30:54.353Z,1755682254353,0
2025-08-20 09:30:54.353Z,1755682254353,0
2025-08-20 09:30:54.353Z,1755682254353,0
