Timestamp, Epoch,L3-SBW4-PM311:Energy
2025-08-20 06:16:06.117Z,1755670566117,0.014060000000000003
2025-08-20 06:16:06.722Z,1755670566722,0.016260000000000004
2025-08-20 06:16:07.017Z,1755670567017,0.014060000000000003
2025-08-20 06:16:07.319Z,1755670567319,0.016260000000000004
2025-08-20 06:16:07.920Z,1755670567920,0.014060000000000003
2025-08-20 06:16:08.523Z,1755670568523,0.016260000000000004
2025-08-20 06:16:08.825Z,1755670568825,0.014060000000000003
2025-08-20 06:16:12.731Z,1755670572731,0.016260000000000004
2025-08-20 06:16:13.032Z,1755670573032,0.014060000000000003
2025-08-20 06:16:13.632Z,1755670573632,0.016260000000000004
2025-08-20 06:16:13.934Z,1755670573934,0.014060000000000003
2025-08-20 06:16:14.234Z,1755670574234,0.016260000000000004
2025-08-20 06:16:14.534Z,1755670574534,0.014060000000000003
2025-08-20 06:16:16.338Z,1755670576338,0.016260000000000004
2025-08-20 06:16:16.640Z,1755670576640,0.014060000000000003
2025-08-20 06:16:16.940Z,1755670576940,0.016260000000000004
2025-08-20 06:16:17.241Z,1755670577241,0.014060000000000003
2025-08-20 06:16:18.442Z,1755670578442,0.016260000000000004
2025-08-20 06:16:19.046Z,1755670579046,0.014060000000000003
2025-08-20 06:16:19.948Z,1755670579948,0.016260000000000004
2025-08-20 06:16:20.249Z,1755670580249,0.014060000000000003
2025-08-20 06:16:20.849Z,1755670580849,0.016260000000000004
2025-08-20 06:16:21.150Z,1755670581150,0.014060000000000003
2025-08-20 06:16:22.050Z,1755670582050,0.016260000000000004
2025-08-20 06:16:22.352Z,1755670582352,0.014060000000000003
2025-08-20 06:16:22.651Z,1755670582651,0.016260000000000004
2025-08-20 06:16:22.955Z,1755670582955,0.014060000000000003
2025-08-20 06:16:25.656Z,1755670585656,0.016260000000000004
2025-08-20 06:16:25.955Z,1755670585955,0.014060000000000003
2025-08-20 06:16:26.558Z,1755670586558,0.016260000000000004
2025-08-20 06:16:26.858Z,1755670586858,0.014060000000000003
2025-08-20 06:16:28.619Z,1755670588619,0.016260000000000004
2025-08-20 06:16:28.965Z,1755670588965,0.014060000000000003
2025-08-20 06:16:30.137Z,1755670590137,0.016260000000000004
2025-08-20 06:16:30.733Z,1755670590733,0.014060000000000003
2025-08-20 06:16:33.746Z,1755670593746,0.016260000000000004
2025-08-20 06:16:34.046Z,1755670594046,0.014060000000000003
2025-08-20 06:16:35.549Z,1755670595549,0.016260000000000004
2025-08-20 06:16:35.852Z,1755670595852,0.014060000000000003
2025-08-20 06:16:39.455Z,1755670599455,0.016260000000000004
2025-08-20 06:16:39.754Z,1755670599754,0.014060000000000003
2025-08-20 06:16:40.056Z,1755670600056,0.016260000000000004
2025-08-20 06:16:40.357Z,1755670600357,0.014060000000000003
2025-08-20 06:16:40.659Z,1755670600659,0.016260000000000004
2025-08-20 06:16:40.956Z,1755670600956,0.014060000000000003
2025-08-20 06:16:45.763Z,1755670605763,0.011860000000000002
2025-08-20 06:16:46.063Z,1755670606063,0.014060000000000003
2025-08-20 06:16:49.066Z,1755670609066,0.016260000000000004
2025-08-20 06:16:49.672Z,1755670609672,0.014060000000000003
2025-08-20 06:16:50.871Z,1755670610871,0.016260000000000004
2025-08-20 06:16:51.176Z,1755670611176,0.014060000000000003
2025-08-20 06:16:51.772Z,1755670611772,0.011860000000000002
2025-08-20 06:16:52.072Z,1755670612072,0.014060000000000003
2025-08-20 06:16:52.373Z,1755670612373,0.016260000000000004
2025-08-20 06:16:52.674Z,1755670612674,0.014060000000000003
2025-08-20 06:16:55.573Z,1755670615573,0.016260000000000004
2025-08-20 06:16:55.975Z,1755670615975,0.014060000000000003
2025-08-20 06:16:58.681Z,1755670618681,0.016260000000000004
2025-08-20 06:16:58.981Z,1755670618981,0.014060000000000003
2025-08-20 06:17:01.585Z,1755670621585,0.016260000000000004
2025-08-20 06:17:01.984Z,1755670621984,0.014060000000000003
2025-08-20 06:17:02.186Z,1755670622186,0.016260000000000004
2025-08-20 06:17:02.484Z,1755670622484,0.014060000000000003
2025-08-20 06:17:05.192Z,1755670625192,0.016260000000000004
2025-08-20 06:17:05.491Z,1755670625491,0.014060000000000003
2025-08-20 06:17:06.392Z,1755670626392,0.016260000000000004
2025-08-20 06:17:06.995Z,1755670626995,0.014060000000000003
2025-08-20 06:17:07.699Z,1755670627699,0.016260000000000004
2025-08-20 06:17:07.898Z,1755670627898,0.014060000000000003
2025-08-20 06:17:08.499Z,1755670628499,0.016260000000000004
2025-08-20 06:17:08.799Z,1755670628799,0.014060000000000003
2025-08-20 06:17:09.103Z,1755670629103,0.016260000000000004
2025-08-20 06:17:09.403Z,1755670629403,0.014060000000000003
2025-08-20 06:17:13.008Z,1755670633008,0.016260000000000004
2025-08-20 06:17:13.913Z,1755670633913,0.014060000000000003
2025-08-20 06:17:14.215Z,1755670634215,0.016260000000000004
2025-08-20 06:17:14.513Z,1755670634513,0.014060000000000003
2025-08-20 06:17:17.817Z,1755670637817,0.016260000000000004
2025-08-20 06:17:18.119Z,1755670638119,0.014060000000000003
2025-08-20 06:17:19.022Z,1755670639022,0.016260000000000004
2025-08-20 06:17:19.322Z,1755670639322,0.014060000000000003
2025-08-20 06:17:20.226Z,1755670640226,0.016260000000000004
2025-08-20 06:17:20.528Z,1755670640528,0.014060000000000003
2025-08-20 06:17:21.731Z,1755670641731,0.016260000000000004
2025-08-20 06:17:22.329Z,1755670642329,0.014060000000000003
2025-08-20 06:17:22.929Z,1755670642929,0.016260000000000004
2025-08-20 06:17:23.231Z,1755670643231,0.014060000000000003
